trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
6569020,07:58:00,07:58:00,29,23,AIRPORT FLYER TO DOWNTOWN & OAKLAND,0,0,39614.03,1
6582020,17:36:00,17:36:00,29,9,TRAFFORD TO FORBES HOSPITAL,0,0,5179.67,1
6587020,12:13:00,12:13:00,29,9,MONROEVILLE TO CCAC BOYCE,0,0,5179.67,1
6603020,15:48:00,15:48:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
6606020,10:31:00,10:31:00,29,23,AIRPORT FLYER TO DOWNTOWN & OAKLAND,0,0,39614.03,1
6616070,11:24:00,11:24:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
6627020,18:42:00,18:42:00,29,18,NORTH BRADDOCK TO NORTH BRADDOCK,0,0,4434.51,1
6633080,14:37:00,14:37:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
6662020,13:45:00,13:45:00,29,23,AIRPORT FLYER TO DOWNTOWN & OAKLAND,0,0,39614.03,1
6663020,13:25:00,13:25:00,29,18,BRADDOCK-SWISSVALE TO NORTH BRADDOCK,0,0,4434.51,1
6709080,05:56:00,05:56:00,29,23,AIRPORT FLYER TO DOWNTOWN & OAKLAND,0,0,39614.03,1
6726020,23:38:00,23:38:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
6729010,16:14:00,16:14:00,29,18,BRADDOCK-SWISSVALE TO NORTH BRADDOCK,0,0,4434.51,1
6736010,15:13:10,15:13:10,7639,58,MONROEVILLE TO DOWNTOWN VIA OAKLAND,0,0,21541.22,0
6767010,21:51:00,21:51:00,29,18,BRADDOCK-SWISSVALE TO NORTH BRADDOCK,0,0,4434.51,1
677020,18:58:32,18:58:32,29,45,GREENFIELD TO CARNEGIE MELLON,0,0,13941.39,0
6773020,12:55:15,12:55:15,7639,82,TRAFFORD TO DOWNTOWN VIA OAKLAND,0,0,29513.59,0
6778080,13:07:00,13:07:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
6788010,09:12:00,09:12:00,29,9,MONROEVILLE TO FORBES HOSPITAL,0,0,5179.67,1
6802020,08:49:00,08:49:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
68070,13:04:00,13:04:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
6809070,25:00:00,25:00:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
6821070,07:27:00,07:27:00,29,18,NORTH BRADDOCK TO NORTH BRADDOCK,0,0,4434.51,1
6836070,16:50:00,16:50:00,29,18,NORTH BRADDOCK TO NORTH BRADDOCK,0,0,4434.51,1
6838070,12:25:00,12:25:00,29,23,AIRPORT FLYER TO DOWNTOWN & OAKLAND,0,0,39614.03,1
6848010,19:36:00,19:36:00,29,18,BRADDOCK-SWISSVALE TO NORTH BRADDOCK,0,0,4434.51,1
685020,11:23:00,11:23:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
6875080,14:14:00,14:14:00,29,18,BRADDOCK-SWISSVALE TO NORTH BRADDOCK,0,0,4434.51,1
6904010,13:03:00,13:03:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
691080,24:41:00,24:41:00,29,23,AIRPORT FLYER TO DOWNTOWN & OAKLAND,0,0,39614.03,1
6926020,10:43:00,10:43:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
6931010,15:13:00,15:13:00,29,9,MONROEVILLE TO FORBES HOSPITAL,0,0,5179.67,1
6940010,21:07:10,21:07:10,7639,58,MONROEVILLE TO DOWNTOWN VIA OAKLAND,0,0,21541.22,0
6966080,20:44:00,20:44:00,29,18,NORTH BRADDOCK TO NORTH BRADDOCK,0,0,4434.51,1
6985080,15:33:00,15:33:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
6994010,21:26:00,21:26:00,29,23,AIRPORT FLYER TO DOWNTOWN & OAKLAND,0,0,39614.03,1
6997010,11:31:00,11:31:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
7007020,14:38:00,14:38:00,29,18,NORTH BRADDOCK TO NORTH BRADDOCK,0,0,4434.51,1
701010,20:12:10,20:12:10,7639,58,MONROEVILLE TO DOWNTOWN VIA OAKLAND,0,0,21541.22,0
7018080,23:33:00,23:33:00,29,23,AIRPORT FLYER TO DOWNTOWN & OAKLAND,0,0,39614.03,1
7026020,08:58:00,08:58:00,29,18,BRADDOCK-SWISSVALE TO NORTH BRADDOCK,0,0,4434.51,1
703020,09:43:00,09:43:00,29,18,BRADDOCK-SWISSVALE TO NORTH BRADDOCK,0,0,4434.51,1
7048020,15:02:00,15:02:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
7050080,10:29:00,10:29:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
7056020,10:25:15,10:25:15,7639,82,TRAFFORD TO DOWNTOWN VIA OAKLAND,0,0,29513.59,0
7066020,10:06:00,10:06:00,29,9,TRAFFORD TO FORBES HOSPITAL,0,0,5179.67,1
7069010,22:26:00,22:26:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
7075080,14:44:00,14:44:00,29,18,BRADDOCK-SWISSVALE TO NORTH BRADDOCK,0,0,4434.51,1
7090080,22:26:00,22:26:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
7092020,13:12:00,13:12:00,29,23,AIRPORT FLYER TO DOWNTOWN & OAKLAND,0,0,39614.03,1
7123010,14:37:00,14:37:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
7125070,13:55:00,13:55:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
7127070,16:04:00,16:04:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
7141070,08:28:00,08:28:00,29,18,NORTH BRADDOCK TO NORTH BRADDOCK,0,0,4434.51,1
715010,24:24:00,24:24:00,29,18,NORTH BRADDOCK TO NORTH BRADDOCK,0,0,4434.51,1
7157080,07:22:00,07:22:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
7162020,08:51:00,08:51:00,29,18,NORTH BRADDOCK TO NORTH BRADDOCK,0,0,4434.51,1
7165070,09:36:00,09:36:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
7197020,18:17:00,18:17:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
